Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,18.634094,19.529243,18.259628,19.365192,8.886580,44572664
2002-05-01,19.365192,20.324535,17.867332,19.076321,8.754020,59594533
2002-06-01,19.151213,19.561340,18.009987,18.651926,8.627102,51450316
2002-07-01,18.651926,18.651926,13.498573,17.492867,8.090997,95601540
2002-08-01,17.457205,18.840942,16.369473,16.697575,7.723152,75680521
2002-09-01,16.351641,17.371613,15.032097,16.940086,7.905278,75775016
2002-10-01,17.154066,18.045649,15.114123,17.974321,8.387916,97073078
2002-11-01,17.945791,18.922968,17.300285,17.899429,8.352968,61316190
2002-12-01,18.259628,19.022825,17.617689,18.819544,8.861162,73616216
2003-01-01,18.972897,19.686163,17.567760,18.163338,8.552188,101560038
2003-02-01,18.188301,18.530670,16.433666,17.528530,8.253292,61177111
2003-03-01,17.653353,18.188301,17.029243,17.977888,8.545926,69496859
2003-04-01,17.977888,19.058489,17.706846,18.915834,8.991782,88387127
2003-05-01,18.915834,21.280313,18.751783,20.435093,9.713976,92682292
2003-06-01,20.499287,21.722540,20.477888,21.330242,10.225747,70719405
2003-07-01,21.330242,21.547789,19.322397,20.495720,9.825680,80118411
2003-08-01,20.624107,21.326675,20.338802,21.005707,10.070163,61287029
2003-09-01,21.005707,22.806705,21.005707,22.646219,10.948203,71716786
2003-10-01,22.664051,23.227531,22.574894,22.628387,10.939583,72169913
2003-11-01,22.628387,23.277460,21.736805,22.047075,10.658552,69212535
2003-12-01,22.075605,23.758917,21.932953,23.666191,11.532217,72810906
2004-01-01,23.769615,23.962196,22.952925,23.887304,11.639953,60727350
2004-02-01,23.894438,24.062054,23.213266,23.944365,11.667759,59479569
2004-03-01,23.965763,24.561340,23.434380,24.561340,12.067912,74279925
2004-04-01,24.518545,24.889444,22.967190,23.873039,11.729728,81238046
2004-05-01,23.744650,23.937233,22.054209,23.751783,11.670148,60568501
2004-06-01,23.758917,24.350927,22.895863,23.744650,11.769062,45179589
2004-07-01,23.680456,25.278173,23.316690,24.893009,12.338249,57503452
2004-08-01,24.714693,26.283880,24.714693,26.283880,13.027636,60704078
2004-09-01,26.291014,27.032810,25.670471,26.169758,13.080341,53509433
2004-10-01,26.212553,28.601997,26.198288,28.259628,14.124917,61314368
2004-11-01,28.530670,30.670471,27.824535,29.750357,14.870018,64021910
2004-12-01,29.757488,32.025677,29.136948,31.433666,15.864739,92241084
2005-01-01,31.597717,31.718973,29.793154,31.562054,15.929542,66049342
2005-02-01,31.669044,32.952923,30.898716,32.353779,16.329126,69140191
2005-03-01,32.489300,33.651924,31.162624,32.731812,16.665792,84797166
2005-04-01,33.024250,35.342369,32.196861,35.306705,17.976831,72912835
2005-05-01,35.306705,35.449360,31.483595,33.416550,17.014435,84009238
2005-06-01,33.559200,37.097004,33.459343,36.611984,18.796612,76592099
